 ,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0
0.5,1.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.4
1.0,1.5,0,0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0,0.0,0,0,0.6
1.5,2.0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.4
2.0,2.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.2
2.5,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1
3.0,3.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
3.5,4.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
4.0,4.5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
4.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
5.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
5.5,6.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
6.0,6.5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
6.5,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.7
