AUG,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0.0,0.0,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.3,0.1,0.0,0,0,0,0,1.8
0.5,1.0,0,0.0,0.8,1.0,1.7,5.1,3.0,2.9,2.3,1.3,0.9,0.6,0.7,0.5,0,0.3,0.2,0,21.3
1.0,1.5,0,0,0.3,2.5,2.5,6.8,5.8,5.2,3.0,1.5,0.4,0.1,0.2,0.1,0,0.1,0.1,0,28.6
1.5,2.0,0,0,0,0.6,2.8,3.8,4.3,4.9,2.3,1.2,0.4,0.0,0.0,0.1,0,0,0.0,0,20.5
2.0,2.5,0,0,0,0.1,1.2,3.0,2.6,3.5,2.6,1.1,0.3,0.0,0,0,0,0,0,0,14.3
2.5,3.0,0,0,0,0,0.1,1.7,0.8,1.6,1.8,0.8,0.4,0.0,0.0,0,0,0,0,0,7.2
3.0,3.5,0,0,0,0,0.0,0.5,0.6,0.6,0.8,0.5,0.3,0.1,0.0,0,0,0,0,0,3.4
3.5,4.0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.2,0.1,0.0,0,0,0,0,0,1.5
4.0,4.5,0,0,0,0,0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0.7
4.5,5.0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.1,0,0,0,0,0,0,0.3
5.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0,0,0,0,0,0,0.2
5.5,6.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0.1
6.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1
6.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.1
7.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.1,1.2,4.1,8.4,21.2,17.7,19.2,13.4,7.2,3.3,1.6,1.1,0.7,0.0,0.4,0.3,0.0,100.0
