JUL,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0.0,0,0.1,0.1,0.4,0.3,0.3,0.1,0.0,0.1,0.2,0.1,0,0,0.0,0,0,1.7
0.5,1.0,0,0.1,0.8,1.0,2.6,5.2,5.1,4.4,2.2,1.3,0.5,0.9,0.5,0.3,0,0.2,0.1,0,25.2
1.0,1.5,0,0,0.3,2.5,2.5,5.4,6.2,6.4,4.0,1.8,0.7,0.1,0.0,0.1,0,0.0,0.1,0,30.0
1.5,2.0,0,0,0,0.4,2.6,3.0,4.1,4.8,2.9,1.2,0.5,0.1,0.1,0.0,0,0.0,0,0,19.7
2.0,2.5,0,0,0,0,0.9,2.0,1.7,2.8,2.4,1.1,0.3,0.1,0,0.0,0,0,0,0,11.3
2.5,3.0,0,0,0,0,0.1,1.0,1.3,1.5,1.6,0.8,0.3,0.1,0.0,0,0,0,0,0,6.7
3.0,3.5,0,0,0,0,0,0.3,0.5,0.8,0.8,0.7,0.2,0.1,0,0.0,0,0,0,0,3.3
3.5,4.0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.4,0.1,0.0,0,0.0,0,0,0,0,1.0
4.0,4.5,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.1,0.0,0,0,0,0,0,0,0.6
4.5,5.0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.0,0,0,0,0,0,0,0.4
5.0,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0.2
5.5,6.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
6.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.1,1.0,4.0,8.8,17.3,19.3,21.2,14.4,7.6,3.0,1.6,0.7,0.4,0.0,0.3,0.2,0.0,100.0
