MAY,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,total
0.0,0.5,0,0.0,0.0,0,0.0,0.1,0.2,0.3,0.0,0.1,0.3,0.2,0.1,0.1,0,0.0,0.0,0,1.4
0.5,1.0,0,0.1,1.1,0.8,0.7,1.6,2.0,3.3,3.1,1.8,1.0,0.6,0.5,0.2,0,0.1,0,0,16.8
1.0,1.5,0,0,0.3,2.1,2.2,2.9,2.5,3.9,3.5,2.0,1.1,0.3,0.1,0.1,0,0.0,0,0,21.2
1.5,2.0,0,0,0,0.4,2.9,2.7,2.5,3.1,3.6,2.9,1.0,0.3,0.0,0.0,0,0,0,0,19.3
2.0,2.5,0,0,0,0.0,1.3,2.7,1.4,2.1,3.1,2.4,1.2,0.5,0.1,0.0,0,0,0,0,14.9
2.5,3.0,0,0,0,0,0.1,2.0,1.0,1.7,2.5,2.0,0.9,0.3,0.2,0,0,0,0,0,10.6
3.0,3.5,0,0,0,0,0,0.9,0.6,1.2,1.2,1.4,0.9,0.3,0.0,0,0,0,0,0,6.6
3.5,4.0,0,0,0,0,0,0.1,0.5,0.5,0.8,1.4,0.7,0.3,0.0,0,0,0,0,0,4.2
4.0,4.5,0,0,0,0,0,0.0,0.1,0.3,0.2,0.7,0.6,0.3,0.1,0.0,0,0,0,0,2.2
4.5,5.0,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.5,0.2,0.1,0.0,0,0,0,0,1.2
5.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.1,0.0,0,0,0,0,0,0.6
5.5,6.0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.1,0.0,0,0,0,0,0,0.4
6.0,6.5,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.3
6.5,7.0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1
7.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
8.0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.1,1.4,3.4,7.2,13.0,10.8,16.5,18.0,15.3,8.7,3.8,1.3,0.5,0.0,0.1,0.0,0.0,100.0
