 ,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
0.0,0.5,0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.5
0.5,1.0,0,0.0,0.4,0.5,0.7,1.6,1.4,1.5,1.2,0.8,0.5,0.4,0.3,0.2,0,0.1,0.0,0,0.0,0,0.0,0,9.5
1.0,1.5,0,0,0.2,1.3,1.2,2.3,2.3,2.8,2.3,1.5,0.8,0.5,0.2,0.1,0,0.1,0.0,0,0.0,0,0,0,15.7
1.5,2.0,0,0,0,0.4,2.0,1.9,2.0,2.6,2.4,1.8,1.0,0.6,0.3,0.2,0,0.1,0.0,0,0.0,0,0,0,15.2
2.0,2.5,0,0,0,0.0,1.1,2.0,1.3,2.1,2.5,1.9,1.2,0.7,0.3,0.1,0,0.0,0.0,0,0,0,0,0,13.3
2.5,3.0,0,0,0,0,0.2,1.7,1.0,1.4,2.2,2.1,1.4,0.7,0.3,0.1,0,0.0,0.0,0,0,0,0,0,11.1
3.0,3.5,0,0,0,0,0.0,0.8,0.9,1.0,1.5,2.0,1.6,0.7,0.3,0.2,0,0.0,0.0,0,0,0,0,0,9.1
3.5,4.0,0,0,0,0,0.0,0.3,0.5,0.8,1.0,1.6,1.5,0.8,0.3,0.1,0,0.0,0.0,0,0,0,0,0,6.9
4.0,4.5,0,0,0,0,0,0.1,0.3,0.5,0.7,1.1,1.3,0.8,0.3,0.1,0,0.0,0.0,0,0,0,0,0,5.1
4.5,5.0,0,0,0,0,0,0.0,0.1,0.3,0.4,0.9,1.0,0.8,0.3,0.1,0,0.0,0.0,0,0,0,0,0,3.9
5.0,5.5,0,0,0,0,0,0,0.0,0.1,0.2,0.5,0.8,0.8,0.3,0.1,0,0.0,0.0,0,0,0,0,0,2.8
5.5,6.0,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.6,0.6,0.3,0.1,0,0.0,0.0,0,0,0,0,0,2.1
6.0,6.5,0,0,0,0,0,0,0,0.0,0.1,0.2,0.3,0.5,0.3,0.1,0,0.0,0.0,0,0,0,0,0,1.5
6.5,7.0,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.4,0.3,0.1,0,0.0,0,0,0,0,0,0,1.0
7.0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.2,0.1,0,0.0,0.0,0,0,0,0,0,0.7
7.5,8.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.1,0,0.0,0,0,0,0,0,0,0.5
8.0,8.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.1,0,0.0,0,0,0,0,0,0,0.3
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.1,0,0.0,0,0,0,0,0,0,0.2
9.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0,0.0,0,0,0,0,0,0,0.2
9.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0.1
10.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.1
10.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
11.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
11.5,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
12.0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
12.5,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
13.0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.6,2.3,5.1,10.6,9.8,13.2,14.7,14.7,12.3,9.0,4.8,2.1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,100.0
